B,nh,N,Q_size,naive,flash,speedup
8,8,64,1,75.947,4.327,17.55188352
16,8,64,2,260.223,6.752,38.54013626
32,8,64,4,973.224,14.306,68.02907871
8,12,64,5,149.656,4.851,30.85054628
16,12,64,3,526.165,9.777,53.81661041
32,12,64,6,3554.225,20.746,171.3209775
8,16,64,2,258.09,6.717,38.42340331
16,16,64,4,974.163,14.399,67.65490659
32,16,64,8,9376.61,29.372,319.2363475
8,12,128,3,525.568,10.711,49.06806087
16,12,128,6,3581.405,22.172,161.5282789
8,8,256,4,973.929,34.922,27.88869481
8,12,256,8,3578.935,36.738,97.41779629
8,16,256,6,9374.85,53.925,173.8497914
16,8,256,8,9370.921,53.942,173.7221645
