B,nh,N,Q_size,naive,flash,speedup
8,8,64,1,52.673,2.951,17.84920366
16,8,64,2,153.879,4.63,33.23520518
32,8,64,4,510.386,7.83,65.18339719
8,12,64,5,98.593,4.205,23.44661118
16,12,64,3,311.276,6.226,49.9961452
32,12,64,6,1126.938,11.31,99.64084881
8,16,64,2,153.997,4.641,33.18185736
16,16,64,4,510.676,7.864,64.93845371
32,16,64,8,2166.793,15.3,141.6204575
8,12,128,3,311.331,7.766,40.08897759
16,12,128,6,1127.08,12.25,92.00653061
8,8,256,4,510.735,15.58,32.78145058
8,12,256,8,2165.595,29.11,74.39350739
8,16,256,6,1127.009,25.54,44.12721222
16,8,256,8,2165.579,29.07,74.49532164
